filepath,category,class,split
data\split\train\flowers\Amaryllis\01d8d553e4_aug2_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\5b00217e9e.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\9808bc998c_aug1_aug2.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\8a4136ee70_aug1_aug2.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\8fae456532.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\3b8b9e3dea_aug1_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\565c636d38_aug0_aug2.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\31334ede03_aug2_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\01d8d553e4_aug2_aug2.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\4c45688ed8_aug1.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\d820973365.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\a0a1fbeb8f_aug1_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\7522d2af1e_aug2_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\c2eda84246_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\db5547827a_aug1_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\9f97c22daa_aug0_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\ded38345a3.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\a0a1fbeb8f_aug0_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\d211037455.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\fe7276eba7.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\ba85940900_aug1_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\32390f1b6f_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\3ac0106c40_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\a0a1fbeb8f_aug1.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\eb7d2b74d7_aug2.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\54ea2103f4.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\1cb0453eb4_aug2.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\565c636d38_aug2_aug2.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\db5547827a_aug1_aug2.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\7522d2af1e_aug2_aug2.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\752ec533cd_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\2982b40f0f_aug2.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\d211037455_aug2_aug1.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\2982b40f0f_aug1.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\d211037455_aug2_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\2982b40f0f_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\d820973365_aug1.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\9e099e4bac_aug2_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\32390f1b6f_aug2.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\fb248ce869.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\9e099e4bac_aug2_aug1.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\9dea6f3810_aug1_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\2982b40f0f_aug0_aug1.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\0ca57dca77_aug2_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\1cb0453eb4_aug1.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\9808bc998c_aug2.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\d1f9c7ab4b_aug2_aug1.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\75b4066418.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\1e9bafc558_aug1_aug1.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\3b8b9e3dea_aug1_aug1.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\1cb0453eb4_aug1_aug2.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\fe7276eba7_aug2.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\54ea2103f4_aug1.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\28a2c78ad3_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\565c636d38_aug0_aug1.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\565c636d38_aug2_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\b4df5d15e9_aug1.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\4c45688ed8_aug2.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\2982b40f0f_aug0_aug0.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\8fae456532_aug1.jpg,flowers,Amaryllis,train
data\split\train\flowers\Amaryllis\5c91fb55c3.jpg,flowers,Amaryllis,train
data\split\val\flowers\Amaryllis\2982b40f0f_aug1_aug1.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\8fae456532_aug2_aug1.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\5b00217e9e_aug0.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\1cb0453eb4_aug2_aug0.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\9f97c22daa_aug0_aug1.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\d820973365_aug0.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\1a522b4c38_aug2_aug1.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\565c636d38_aug0.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\1a522b4c38_aug2_aug0.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\b4df5d15e9_aug2_aug2.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\a0a1fbeb8f_aug0.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\25ab3c2e32_aug1_aug0.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\1530d83aea_aug2.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\cf4fb2d3f4_aug2_aug2.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\c0c0de4347_aug1_aug0.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\00d7d9a606_aug2_aug2.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\730ddfb75d.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\2982b40f0f_aug2_aug2.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\1cb0453eb4_aug2_aug1.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\8fae456532_aug2.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\28a2c78ad3.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\9e4a0b692d.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\fe7276eba7_aug1.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\d820973365_aug2.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\c4c196468d.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\01d8d553e4_aug1_aug2.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\1a522b4c38_aug2_aug2.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\565c636d38_aug2_aug1.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\e218cca47a_aug2_aug0.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\b337c4108c_aug1.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\fd3fd5f00b.jpg,flowers,Amaryllis,val
data\split\val\flowers\Amaryllis\db5547827a_aug1.jpg,flowers,Amaryllis,val
data\split\test\flowers\Amaryllis\28a2c78ad3_aug2_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\5c91fb55c3_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\4c45688ed8_aug0_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\18b8f92753_aug2_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\f8186f5e7c_aug2_aug0.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\c4c196468d_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\9808bc998c.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\3b8b9e3dea_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\18b8f92753_aug2_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\9f97c22daa_aug0.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\ba85940900_aug1_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\00d7d9a606_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\d1f9c7ab4b_aug2_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\fe7276eba7_aug0.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\25ab3c2e32_aug1_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\f9fa1c59b1_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\5b00217e9e_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\8a4136ee70.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\1d7f4e5d2e_aug2_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\b4df5d15e9_aug2_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\0ca57dca77_aug2_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\9e4a0b692d_aug0.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\7522d2af1e_aug2_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\c4c196468d_aug1_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\9e4a0b692d_aug2_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\8a4136ee70_aug2_aug0.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\31334ede03_aug2_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\229ee55d0b_aug0_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\8a4136ee70_aug1_aug0.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\8a4136ee70_aug2_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\9e4a0b692d_aug2_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\8fae456532_aug0_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\e814040df3_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\fb248ce869_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\c4c196468d_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\b337c4108c.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\3b8b9e3dea_aug0.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\730ddfb75d_aug0.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\b337c4108c_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\d211037455_aug0.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\c0c0de4347_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\3ac0106c40_aug0_aug0.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\fb248ce869_aug0.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\e814040df3_aug0_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\68524aca6d.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\01d8d553e4_aug2_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\eb7d2b74d7_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\e814040df3_aug0_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\54ea2103f4_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\1e9bafc558_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\08c646eb90_aug0_aug0.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\5b00217e9e_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\8a4136ee70_aug1_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\a0a1fbeb8f_aug1_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\1530d83aea.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\f9fa1c59b1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\1cb0453eb4_aug2_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\b337c4108c_aug0.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\c4c196468d_aug1_aug0.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\db5547827a_aug0_aug0.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\cf4fb2d3f4_aug2.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\68524aca6d_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\9e4a0b692d_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\75b4066418_aug1.jpg,flowers,Amaryllis,test
data\split\test\flowers\Amaryllis\c0c0de4347_aug0.jpg,flowers,Amaryllis,test
data\split\train\flowers\Bergenia\dca65daaad.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\88f69596fa_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\7985d04915_aug1_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\acb7239e54_aug1_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\dca65daaad_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\9186993299_aug1_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\328853acd2_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\36b38f5e26.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\cdaa83f8bb_aug2_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\e5e78494f2_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\e8ea0bdd00_aug1_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\690b50fe3c.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\1d751901fe_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\baaa77c50e_aug1_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\0827242102_aug0_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\84dbae3a0d_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\d523678907_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\ac3f784e1e_aug1_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\da63477962_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\f7dbd84530_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\b841416774_aug0_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\0827242102_aug1_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\4b2bc825da_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\da63477962_aug2_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\6c84011a08_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\9186993299_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\28bdf95004_aug0_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\36b38f5e26_aug2_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\0d502e8827_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\b9497edd2f_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\7985d04915_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\8e6ce63432_aug0_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\51b832ac70_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\2a93562142_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\8e6ce63432.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\51b832ac70_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\8e6ce63432_aug0_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\f7dbd84530.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\baaa77c50e_aug1_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\0827242102_aug0_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\375f5da16a_aug1_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\8e6ce63432_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\3970c9c4b8_aug2_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\93d71cfdc8_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\30594baa26_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\acb7239e54_aug1_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\57d56fbaeb_aug0_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\e5e78494f2_aug0_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\fb4833bfe6_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\13b98648d9.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\c03fd7b767_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\bf9e981080_aug1_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\3c444c51fd_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\9c90677c41_aug1_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\cdaa83f8bb_aug2_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\ca464e47f0_aug0_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\9c90677c41.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\2a93562142.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\69b24d9eb1_aug2_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\53b9bc8d6f_aug1_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\2a93562142_aug1_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\af097fa14f_aug1_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\7efe21760a_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\375f5da16a_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\69b24d9eb1_aug2_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\af097fa14f_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\ee386197cb_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\f638b42bec_aug2_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\ca464e47f0_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\2a93562142_aug1_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\e5e78494f2_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\5da8916529_aug1_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\997f883334_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\b9497edd2f_aug0_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\861c137fff_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\3568e9949c.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\30594baa26_aug2_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\9c90677c41_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\b841416774_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\ac3f784e1e_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\51b832ac70_aug2_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\4a4255adfc_aug0_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\4b2bc825da_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\0d502e8827.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\328853acd2_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\53b9bc8d6f_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\3970c9c4b8_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\e8ea0bdd00_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\88f69596fa.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\c03fd7b767_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\7efe21760a_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\2a93562142_aug1_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\63257acda4_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\4d84a1d676_aug0_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\861c137fff_aug0_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\7985d04915_aug1_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\53b9bc8d6f_aug1_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\28bdf95004_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\4d84a1d676_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\63257acda4.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\cdaa83f8bb_aug2_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\b9497edd2f_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\84dbae3a0d.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\a7ebd49ac8_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\9186993299_aug1_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\3c444c51fd_aug0_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\ac3f784e1e_aug2_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\558616716d_aug0_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\51b832ac70_aug2_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\c0a291737c_aug2_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\da63477962.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\f638b42bec_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\558616716d_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\ca464e47f0_aug0_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\690b50fe3c_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\ca464e47f0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\9c90677c41_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\0d502e8827_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\30594baa26_aug2_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\f638b42bec.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\60148dcee5_aug2_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\da63477962_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\b9497edd2f_aug0_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\b9497edd2f_aug1_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\baaa77c50e_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\36b38f5e26_aug2_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\bf9e981080_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\8e6ce63432_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\3568e9949c_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\17c23ee63b.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\8e6ce63432_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\e5e78494f2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\3970c9c4b8_aug2_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\af097fa14f_aug1_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\cdaa83f8bb_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\4d84a1d676_aug0_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\861c137fff_aug0_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\d165ba8885_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\4b2bc825da.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\9c90677c41_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\b9497edd2f_aug1_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\c03fd7b767_aug1_aug0.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\d523678907_aug1_aug2.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\861c137fff_aug2_aug1.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\7efe21760a.jpg,flowers,Bergenia,train
data\split\train\flowers\Bergenia\1159814b70_aug2.jpg,flowers,Bergenia,train
